idAlu;idCur;nota
92188;188;9
92189;189;10
92190;190;8
92191;191;9
92192;192;5
92193;193;10
92194;194;9
92195;195;12
92196;196;11
92197;197;6
92198;198;9
92199;199;11
92200;200;6
92201;1;4
92202;2;6
92203;3;8
92204;4;10
92205;5;7
92206;6;5
92207;7;10
92208;8;3
92209;9;9
92210;10;12
92211;11;10
92212;12;7
92213;13;12
92214;14;3
92215;15;7
92216;16;11
92217;17;9
92218;18;8
92219;19;3
92220;20;6
92221;21;5
92222;22;6
92223;23;4
92224;24;4
92225;25;4
92226;26;5
92227;27;4
92228;28;7
92229;29;5
92230;30;11
92231;31;11
92232;32;11
92233;33;7
92234;34;8
92235;35;3
92236;36;4
92237;37;12
92238;38;7
92239;39;6
92240;40;12
92241;41;5
92242;42;10
92243;43;8
92244;44;9
92245;45;6
92246;46;4
92247;47;5
92248;48;11
92249;49;3
92250;50;8
92251;51;12
92252;52;3
92253;53;3
92254;54;9
92255;55;10
92256;56;12
92257;57;5
92258;58;8
92259;59;8
92260;60;7
92261;61;8
92262;62;7
92263;63;8
92264;64;9
92265;65;3
92266;66;11
92267;67;9
92268;68;8
92269;69;11
92270;70;5
92271;71;6
92272;72;3
92273;73;9
92274;74;10
92275;75;4
92276;76;5
92277;77;10
92278;78;3
92279;79;4
92280;80;6
92281;81;12
92282;82;12
92283;83;7
92284;84;11
92285;85;12
92286;86;7
92287;87;9
92288;88;9
92289;89;9
92290;90;4
92291;91;3
92292;92;4
92293;93;6
92294;94;8
92295;95;6
92296;96;8
92297;97;11
92298;98;12
92299;99;9
92300;100;7
92301;101;12
92302;102;11
92303;103;11
92304;104;5
92305;105;8
92306;106;11
92307;107;11
92308;108;6
92309;109;9
92310;110;4
92311;111;10
92312;112;11
92313;113;8
92314;114;7
92315;115;12
92316;116;4
92317;117;9
92318;118;8
92319;119;9
92320;120;6
92321;121;4
92322;122;4
92323;123;11
92324;124;7
92325;125;6
92326;126;12
92327;127;5
92328;128;9
92329;129;6
92330;130;7
92331;131;10
92332;132;9
92333;133;3
92334;134;6
92335;135;6
92336;136;6
92337;137;10
92338;138;4
92339;139;4
92340;140;11
92341;141;9
92342;142;12
92343;143;3
92344;144;11
92345;145;10
92346;146;8
92347;147;4
92348;148;6
92349;149;5
92350;150;11
92351;151;8
92352;152;9
92353;153;9
92354;154;12
92355;155;10
92356;156;8
92357;157;12
92358;158;6
92359;159;4
92360;160;4
92361;161;11
92362;162;5
92363;163;3
92364;164;4
92365;165;4
92366;166;5
92367;167;8
92368;168;12
92369;169;5
92370;170;10
92371;171;4
92372;172;9
92373;173;3
92374;174;6
92375;175;6
92376;176;12
92377;177;5
92378;178;4
92379;179;11
92380;180;10
92381;181;11
92382;182;12
92383;183;7
92384;184;12
92385;185;8
92386;186;6
92387;187;4
92388;188;6
92389;189;9
92390;190;12
92391;191;11
92392;192;5
92393;193;8
92394;194;11
92395;195;8
92396;196;6
92397;197;10
92398;198;5
92399;199;3
92400;200;11
92401;1;4
92402;2;9
92403;3;11
92404;4;4
92405;5;10
92406;6;7
92407;7;9
92408;8;6
92409;9;10
92410;10;11
92411;11;5
92412;12;11
92413;13;5
92414;14;11
92415;15;12
92416;16;12
92417;17;11
92418;18;5
92419;19;11
92420;20;4
92421;21;8
92422;22;12
92423;23;11
92424;24;11
92425;25;6
92426;26;5
92427;27;10
92428;28;12
92429;29;10
92430;30;3
92431;31;3
92432;32;9
92433;33;3
92434;34;3
92435;35;6
92436;36;9
92437;37;6
92438;38;8
92439;39;10
92440;40;3
92441;41;10
92442;42;8
92443;43;9
92444;44;5
92445;45;5
92446;46;7
92447;47;10
92448;48;6
92449;49;10
92450;50;3
92451;51;6
92452;52;11
92453;53;3
92454;54;6
92455;55;12
92456;56;12
92457;57;7
92458;58;12
92459;59;9
92460;60;5
92461;61;7
92462;62;9
92463;63;8
92464;64;3
92465;65;11
92466;66;7
92467;67;11
92468;68;9
92469;69;9
92470;70;9
92471;71;12
92472;72;4
92473;73;7
92474;74;7
92475;75;12
92476;76;3
92477;77;8
92478;78;6
92479;79;9
92480;80;8
92481;81;8
92482;82;7
92483;83;6
92484;84;8
92485;85;12
92486;86;6
92487;87;10
92488;88;8
92489;89;8
92490;90;9
92491;91;11
92492;92;6
92493;93;9
92494;94;6
92495;95;12
92496;96;8
92497;97;3
92498;98;6
92499;99;6
92500;100;7
92501;101;11
92502;102;11
92503;103;10
92504;104;7
92505;105;7
92506;106;3
92507;107;4
92508;108;6
92509;109;11
92510;110;6
92511;111;9
92512;112;10
92513;113;4
92514;114;8
92515;115;4
92516;116;3
92517;117;9
92518;118;4
92519;119;6
92520;120;4
92521;121;5
92522;122;5
92523;123;12
92524;124;3
92525;125;5
92526;126;4
92527;127;8
92528;128;10
92529;129;8
92530;130;5
92531;131;12
92532;132;11
92533;133;6
92534;134;3
92535;135;8
92536;136;8
92537;137;6
92538;138;3
92539;139;10
92540;140;5
92541;141;3
92542;142;10
92543;143;4
92544;144;3
92545;145;7
92546;146;4
92547;147;4
92548;148;4
92549;149;11
92550;150;7
92551;151;7
92552;152;7
92553;153;6
92554;154;5
92555;155;9
92556;156;10
92557;157;7
92558;158;8
92559;159;3
92560;160;11
92561;161;7
92562;162;9
92563;163;3
92564;164;6
92565;165;6
92566;166;6
92567;167;11
92568;168;3
92569;169;3
92570;170;9
92571;171;11
92572;172;5
92573;173;10
92574;174;8
92575;175;8
92576;176;12
92577;177;12
92578;178;12
92579;179;10
92580;180;5
92581;181;3
92582;182;8
92583;183;11
92584;184;5
92585;185;4
92586;186;5
92587;187;5
92588;188;5
92589;189;4
92590;190;6
92591;191;8
92592;192;9
92593;193;6
92594;194;3
92595;195;8
92596;196;3
92597;197;11
92598;198;8
92599;199;9
92600;200;6
92601;1;6
92602;2;6
92603;3;4
92604;4;10
92605;5;7
92606;6;3
92607;7;9
92608;8;8
92609;9;8
92610;10;5
92611;11;10
92612;12;11
92613;13;9
92614;14;7
92615;15;6
92616;16;5
92617;17;5
92618;18;10
92619;19;12
92620;20;7
92621;21;11
92622;22;12
92623;23;6
92624;24;8
92625;25;11
92626;26;10
92627;27;4
92628;28;12
92629;29;9
92630;30;9
92631;31;12
92632;32;6
92633;33;6
92634;34;8
92635;35;5
92636;36;9
92637;37;8
92638;38;9
92639;39;12
92640;40;6
92641;41;6
92642;42;12
92643;43;10
92644;44;10
92645;45;4
92646;46;4
92647;47;5
92648;48;10
92649;49;3
92650;50;7
92651;51;3
92652;52;7
92653;53;4
92654;54;10
92655;55;6
92656;56;5
92657;57;4
92658;58;12
92659;59;7
92660;60;8
92661;61;7
92662;62;6
92663;63;8
92664;64;3
92665;65;5
92666;66;3
92667;67;10
92668;68;12
92669;69;5
92670;70;8
92671;71;3
92672;72;11
92673;73;3
92674;74;4
92675;75;10
92676;76;8
92677;77;10
92678;78;3
92679;79;11
92680;80;3
92681;81;10
92682;82;4
92683;83;7
92684;84;12
92685;85;5
92686;86;4
92687;87;9
92688;88;10
92689;89;12
92690;90;8
92691;91;12
92692;92;8
92693;93;10
92694;94;6
92695;95;7
92696;96;3
92697;97;9
92698;98;11
92699;99;7
92700;100;7
92701;101;7
92702;102;12
92703;103;7
92704;104;11
92705;105;3
92706;106;6
92707;107;11
92708;108;10
92709;109;7
92710;110;10
92711;111;6
92712;112;9
92713;113;6
92714;114;12
92715;115;11
92716;116;8
92717;117;8
92718;118;6
92719;119;5
92720;120;12
92721;121;11
92722;122;10
92723;123;11
92724;124;10
92725;125;8
92726;126;11
92727;127;4
92728;128;8
92729;129;3
92730;130;12
92731;131;11
92732;132;11
92733;133;9
92734;134;11
92735;135;5
92736;136;7
92737;137;11
92738;138;6
92739;139;8
92740;140;12
92741;141;9
92742;142;3
92743;143;4
92744;144;8
92745;145;7
92746;146;10
92747;147;12
92748;148;4
92749;149;9
92750;150;8
92751;151;10
92752;152;8
92753;153;12
92754;154;12
92755;155;5
92756;156;7
92757;157;8
92758;158;4
92759;159;5
92760;160;8
92761;161;4
92762;162;8
92763;163;5
92764;164;12
92765;165;5
92766;166;3
92767;167;5
92768;168;9
92769;169;11
92770;170;4
92771;171;9
92772;172;6
92773;173;10
92774;174;7
92775;175;9
92776;176;5
92777;177;3
92778;178;10
92779;179;7
92780;180;9
92781;181;7
92782;182;11
92783;183;8
92784;184;7
92785;185;7
92786;186;12
92787;187;7
92788;188;8
92789;189;8
92790;190;4
92791;191;9
92792;192;4
92793;193;10
92794;194;12
92795;195;5
92796;196;7
92797;197;3
92798;198;6
92799;199;6
92800;200;11
92801;1;4
92802;2;3
92803;3;8
92804;4;8
92805;5;12
92806;6;5
92807;7;12
92808;8;10
92809;9;5
92810;10;12
92811;11;6
92812;12;11
92813;13;12
92814;14;11
92815;15;11
92816;16;8
92817;17;12
92818;18;4
92819;19;6
92820;20;12
92821;21;5
92822;22;3
92823;23;6
92824;24;10
92825;25;10
92826;26;9
92827;27;6
92828;28;4
92829;29;4
92830;30;12
92831;31;4
92832;32;5
92833;33;9
92834;34;6
92835;35;8
92836;36;8
92837;37;7
92838;38;4
92839;39;7
92840;40;3
92841;41;10
92842;42;6
92843;43;8
92844;44;3
92845;45;9
92846;46;10
92847;47;8
92848;48;4
92849;49;3
92850;50;4
92851;51;6
92852;52;7
92853;53;6
92854;54;6
92855;55;6
92856;56;5
92857;57;10
92858;58;4
92859;59;4
92860;60;6
92861;61;10
92862;62;4
92863;63;7
92864;64;5
92865;65;12
92866;66;3
92867;67;8
92868;68;11
92869;69;9
92870;70;10
92871;71;10
92872;72;7
92873;73;8
92874;74;6
92875;75;4
92876;76;7
92877;77;7
92878;78;3
92879;79;6
92880;80;9
92881;81;12
92882;82;10
92883;83;6
92884;84;11
92885;85;11
92886;86;11
92887;87;3
92888;88;7
92889;89;11
92890;90;10
92891;91;3
92892;92;7
92893;93;10
92894;94;4
92895;95;6
92896;96;11
92897;97;3
92898;98;8
92899;99;10
92900;100;10
92901;101;6
92902;102;6
92903;103;6
92904;104;8
92905;105;5
92906;106;11
92907;107;12
92908;108;11
92909;109;5
92910;110;7
92911;111;6
92912;112;7
92913;113;4
92914;114;9
92915;115;7
92916;116;9
92917;117;10
92918;118;3
92919;119;6
92920;120;10
92921;121;12
92922;122;8
92923;123;12
92924;124;4
92925;125;8
92926;126;8
92927;127;4
92928;128;12
92929;129;8
92930;130;11
92931;131;9
92932;132;3
92933;133;3
92934;134;3
92935;135;9
92936;136;12
92937;137;5
92938;138;3
92939;139;12
92940;140;10
92941;141;8
92942;142;9
92943;143;9
92944;144;11
92945;145;3
92946;146;10
92947;147;11
92948;148;12
92949;149;12
92950;150;4
92951;151;7
92952;152;11
92953;153;3
92954;154;4
92955;155;7
92956;156;3
92957;157;12
92958;158;6
92959;159;9
92960;160;7
92961;161;12
92962;162;10
92963;163;4
92964;164;11
92965;165;11
92966;166;5
92967;167;8
92968;168;6
92969;169;12
92970;170;5
92971;171;10
92972;172;5
92973;173;4
92974;174;12
92975;175;5
92976;176;9
92977;177;8
92978;178;4
92979;179;8
92980;180;5
92981;181;7
92982;182;12
92983;183;12
92984;184;6
92985;185;8
92986;186;3
92987;187;11
92988;188;9
92989;189;3
92990;190;3
92991;191;11
92992;192;7
92993;193;6
92994;194;8
92995;195;6
92996;196;5
92997;197;12
92998;198;5
92999;199;10
93000;200;8
93001;1;9
93002;2;5
93003;3;8
93004;4;3
93005;5;9
93006;6;7
93007;7;3
93008;8;11
93009;9;9
93010;10;11
93011;11;11
93012;12;10
93013;13;7
93014;14;10
93015;15;3
93016;16;4
93017;17;6
93018;18;12
93019;19;9
93020;20;11
93021;21;5
93022;22;8
93023;23;7
93024;24;5
93025;25;3
93026;26;5
93027;27;9
93028;28;5
93029;29;7
93030;30;3
93031;31;7
93032;32;3
93033;33;4
93034;34;8
93035;35;5
93036;36;10
93037;37;6
93038;38;11
93039;39;8
93040;40;4
93041;41;7
93042;42;8
93043;43;10
93044;44;4
93045;45;10
93046;46;10
93047;47;6
93048;48;12
93049;49;8
93050;50;12
93051;51;8
93052;52;6
93053;53;10
93054;54;5
93055;55;10
93056;56;7
93057;57;9
93058;58;11
93059;59;11
93060;60;8
93061;61;9
93062;62;4
93063;63;11
93064;64;5
93065;65;10
93066;66;5
93067;67;9
93068;68;11
93069;69;5
93070;70;11
93071;71;8
93072;72;4
93073;73;9
93074;74;8
93075;75;7
93076;76;7
93077;77;7
93078;78;8
93079;79;3
93080;80;11
93081;81;10
93082;82;4
93083;83;6
93084;84;7
93085;85;10
93086;86;6
93087;87;8
93088;88;6
93089;89;10
93090;90;5
93091;91;3
93092;92;8
93093;93;5
93094;94;12
93095;95;5
93096;96;11
93097;97;12
93098;98;12
93099;99;6
93100;100;8
93101;101;5
93102;102;5
93103;103;9
93104;104;12
93105;105;10
93106;106;9
93107;107;12
93108;108;9
93109;109;9
93110;110;9
93111;111;8
93112;112;8
93113;113;4
93114;114;6
93115;115;11
93116;116;4
93117;117;6
93118;118;9
93119;119;12
93120;120;10
93121;121;8
93122;122;9
93123;123;9
93124;124;6
93125;125;7
93126;126;8
93127;127;3
93128;128;10
93129;129;6
93130;130;6
93131;131;9
93132;132;4
93133;133;12
93134;134;11
93135;135;4
93136;136;12
93137;137;9
93138;138;8
93139;139;6
93140;140;6
93141;141;4
93142;142;9
93143;143;6
93144;144;3
93145;145;6
93146;146;6
93147;147;7
93148;148;8
93149;149;5
93150;150;5
93151;151;3
93152;152;4
93153;153;8
93154;154;6
93155;155;11
93156;156;3
93157;157;8
93158;158;12
93159;159;11
93160;160;5
93161;161;5
93162;162;12
93163;163;3
93164;164;12
93165;165;9
93166;166;9
93167;167;6
93168;168;11
93169;169;7
93170;170;5
93171;171;12
93172;172;8
93173;173;5
93174;174;6
93175;175;8
93176;176;11
93177;177;7
93178;178;9
93179;179;10
93180;180;9
93181;181;5
93182;182;6
93183;183;8
93184;184;10
93185;185;8
93186;186;9
93187;187;9
93188;188;5
93189;189;6
93190;190;12
93191;191;12
93192;192;12
93193;193;12
93194;194;7
93195;195;10
93196;196;7
93197;197;9
93198;198;12
93199;199;11
93200;200;3
93201;1;6
93202;2;4
93203;3;6
93204;4;7
93205;5;6
93206;6;7
93207;7;12
93208;8;3
93209;9;6
93210;10;8
93211;11;8
93212;12;6
93213;13;10
93214;14;5
93215;15;8
93216;16;6
93217;17;10
93218;18;6
93219;19;9
93220;20;3
93221;21;12
93222;22;5
93223;23;7
93224;24;8
93225;25;8
93226;26;5
93227;27;9
93228;28;5
93229;29;8
93230;30;9
93231;31;7
93232;32;3
93233;33;9
93234;34;12
93235;35;11
93236;36;6
93237;37;5
93238;38;3
93239;39;5
93240;40;11
93241;41;3
93242;42;10
93243;43;10
93244;44;3
93245;45;8
93246;46;5
93247;47;6
93248;48;4
93249;49;9
93250;50;11
93251;51;5
93252;52;7
93253;53;8
93254;54;12
93255;55;5
93256;56;11
93257;57;7
93258;58;11
93259;59;8
93260;60;7
93261;61;6
93262;62;3
93263;63;5
93264;64;5
93265;65;12
93266;66;6
93267;67;6
93268;68;10
93269;69;8
93270;70;8
93271;71;7
93272;72;3
93273;73;11
93274;74;5
93275;75;9
93276;76;8
93277;77;8
93278;78;10
93279;79;3
93280;80;11
93281;81;7
93282;82;7
93283;83;7
93284;84;11
93285;85;12
93286;86;11
93287;87;10
93288;88;4
93289;89;7
93290;90;11
93291;91;3
93292;92;4
93293;93;6
93294;94;3
93295;95;10
93296;96;6
93297;97;4
93298;98;6
93299;99;3
93300;100;3
93301;101;8
93302;102;8
93303;103;5
93304;104;11
93305;105;5
93306;106;5
93307;107;5
93308;108;4
93309;109;10
93310;110;8
93311;111;5
93312;112;7
93313;113;9
93314;114;11
93315;115;3
93316;116;8
93317;117;11
93318;118;7
93319;119;12
93320;120;5
93321;121;4
93322;122;10
93323;123;3
93324;124;4
93325;125;7
93326;126;6
93327;127;7
93328;128;4
93329;129;8
93330;130;11
93331;131;4
93332;132;4
93333;133;5
93334;134;5
93335;135;12
93336;136;4
93337;137;6
93338;138;11
93339;139;11
93340;140;8
93341;141;8
93342;142;7
93343;143;4
93344;144;12
93345;145;9
93346;146;8
93347;147;6
93348;148;11
93349;149;9
93350;150;12
93351;151;10
93352;152;7
93353;153;6
93354;154;4
93355;155;5
93356;156;5
93357;157;11
93358;158;10
93359;159;3
93360;160;12
93361;161;10
93362;162;10
93363;163;6
93364;164;3
93365;165;4
93366;166;4
93367;167;7
93368;168;9
93369;169;3
93370;170;3
93371;171;11
93372;172;12
93373;173;11
93374;174;10
93375;175;11
93376;176;6
93377;177;6
93378;178;12
93379;179;3
93380;180;4
93381;181;12
93382;182;6
93383;183;4
93384;184;5
93385;185;6
93386;186;6
93387;187;6
93388;188;8
93389;189;8
93390;190;4
93391;191;4
93392;192;9
93393;193;3
93394;194;12
93395;195;8
93396;196;3
93397;197;11
93398;198;7
93399;199;10
93400;200;8
93401;1;6
93402;2;3
93403;3;3
93404;4;11
93405;5;10
93406;6;10
93407;7;3
93408;8;5
93409;9;3
93410;10;7
93411;11;12
93412;12;6
93413;13;10
93414;14;3
93415;15;11
93416;16;3
93417;17;7
93418;18;10
93419;19;8
93420;20;5
93421;21;11
93422;22;6
93423;23;12
93424;24;7
93425;25;7
93426;26;12
93427;27;7
93428;28;5
93429;29;5
93430;30;11
93431;31;8
93432;32;9
93433;33;9
93434;34;8
93435;35;4
93436;36;11
93437;37;9
93438;38;5
93439;39;10
93440;40;3
93441;41;3
93442;42;4
93443;43;7
93444;44;8
93445;45;8
93446;46;6
93447;47;12
93448;48;8
93449;49;6
93450;50;10
93451;51;7
93452;52;12
93453;53;4
93454;54;10
93455;55;9
93456;56;6
93457;57;7
93458;58;7
93459;59;8
93460;60;5
93461;61;3
93462;62;10
93463;63;10
93464;64;10
93465;65;6
93466;66;12
93467;67;7
93468;68;3
93469;69;6
93470;70;10
93471;71;10
93472;72;7
93473;73;11
93474;74;8
93475;75;4
93476;76;5
93477;77;11
93478;78;8
93479;79;3
93480;80;5
93481;81;10
93482;82;12
93483;83;8
93484;84;12
93485;85;10
93486;86;12
93487;87;5
93488;88;8
93489;89;4
93490;90;4
93491;91;8
93492;92;12
93493;93;4
93494;94;4
93495;95;9
93496;96;11
93497;97;6
93498;98;12
93499;99;3
93500;100;11
93501;101;4
93502;102;6
93503;103;3
93504;104;5
93505;105;8
93506;106;3
93507;107;3
93508;108;11
93509;109;7
93510;110;7
93511;111;9
93512;112;10
93513;113;12
93514;114;7
93515;115;6
93516;116;10
93517;117;10
93518;118;3
93519;119;5
93520;120;8
93521;121;12
93522;122;3
93523;123;10
93524;124;10
93525;125;9
93526;126;10
93527;127;11
93528;128;4
93529;129;8
93530;130;10
93531;131;6
93532;132;7
93533;133;7
93534;134;6
93535;135;11
93536;136;11
93537;137;11
93538;138;8
93539;139;10
93540;140;8
93541;141;5
93542;142;5
93543;143;9
93544;144;9
93545;145;4
93546;146;8
93547;147;10
93548;148;5
93549;149;9
93550;150;3
93551;151;6
93552;152;7
93553;153;5
93554;154;12
93555;155;4
93556;156;9
93557;157;5
93558;158;11
93559;159;6
93560;160;11
93561;161;4
93562;162;12
93563;163;5
93564;164;5
93565;165;11
93566;166;3
93567;167;10
93568;168;5
93569;169;5
93570;170;10
93571;171;12
93572;172;10
93573;173;9
93574;174;12
93575;175;7
93576;176;3
93577;177;3
93578;178;11
93579;179;6
93580;180;9
93581;181;7
93582;182;7
93583;183;8
93584;184;3
93585;185;11
93586;186;6
93587;187;9
93588;188;8
93589;189;9
93590;190;10
93591;191;11
93592;192;6
93593;193;6
93594;194;3
93595;195;12
93596;196;5
93597;197;4
93598;198;8
93599;199;10
93600;200;6
93601;1;4
93602;2;9
93603;3;7
93604;4;3
93605;5;12
93606;6;6
93607;7;10
93608;8;10
93609;9;8
93610;10;4
93611;11;12
93612;12;7
93613;13;10
93614;14;5
93615;15;12
93616;16;4
93617;17;6
93618;18;12
93619;19;4
93620;20;7
93621;21;6
93622;22;9
93623;23;4
93624;24;9
93625;25;7
93626;26;12
93627;27;10
93628;28;7
93629;29;6
93630;30;11
93631;31;11
93632;32;10
93633;33;4
93634;34;4
93635;35;9
93636;36;8
93637;37;9
93638;38;3
93639;39;11
93640;40;3
93641;41;12
93642;42;8
93643;43;6
93644;44;12
93645;45;7
93646;46;5
93647;47;11
93648;48;11
93649;49;11
93650;50;9
93651;51;3
93652;52;8
93653;53;7
93654;54;12
93655;55;10
93656;56;3
93657;57;8
93658;58;9
93659;59;9
93660;60;9
93661;61;9
93662;62;9
93663;63;12
93664;64;8
93665;65;10
93666;66;12
93667;67;3
93668;68;9
93669;69;8
93670;70;12
93671;71;5
93672;72;4
93673;73;8
93674;74;3
93675;75;11
93676;76;6
93677;77;5
93678;78;3
93679;79;7
93680;80;7
93681;81;3
93682;82;8
93683;83;12
93684;84;9
93685;85;5
93686;86;9
93687;87;3
93688;88;3
93689;89;8
93690;90;11
93691;91;12
93692;92;8
93693;93;8
93694;94;8
93695;95;4
93696;96;9
93697;97;8
93698;98;5
93699;99;11
93700;100;6
93701;101;10
93702;102;8
93703;103;5
93704;104;3
93705;105;8
93706;106;8
93707;107;8
93708;108;8
93709;109;4
93710;110;12
93711;111;11
93712;112;3
93713;113;4
93714;114;8
93715;115;6
93716;116;12
93717;117;7
93718;118;3
93719;119;3
93720;120;4
93721;121;9
93722;122;11
93723;123;11
93724;124;12
93725;125;8
93726;126;4
93727;127;7
93728;128;11
93729;129;11
93730;130;9
93731;131;9
93732;132;12
93733;133;6
93734;134;8
93735;135;12
93736;136;7
93737;137;4
93738;138;7
93739;139;5
93740;140;6
93741;141;9
93742;142;8
93743;143;6
93744;144;6
93745;145;11
93746;146;10
93747;147;7
93748;148;7
93749;149;6
93750;150;4
93751;151;4
93752;152;8
93753;153;7
93754;154;8
93755;155;12
93756;156;8
93757;157;6
93758;158;9
93759;159;9
93760;160;4
93761;161;11
93762;162;9
93763;163;3
93764;164;10
93765;165;6
93766;166;7
93767;167;11
93768;168;12
93769;169;9
93770;170;4
93771;171;11
93772;172;8
93773;173;4
93774;174;12
93775;175;5
93776;176;5
93777;177;5
93778;178;12
93779;179;4
93780;180;5
93781;181;9
93782;182;5
93783;183;9
93784;184;10
93785;185;7
93786;186;3
93787;187;7
93788;188;7
93789;189;3
93790;190;7
93791;191;6
93792;192;11
93793;193;7
93794;194;6
93795;195;6
93796;196;6
93797;197;3
93798;198;4
93799;199;4
93800;200;11
93801;1;7
93802;2;12
93803;3;9
93804;4;10
93805;5;9
93806;6;10
93807;7;9
93808;8;9
93809;9;3
93810;10;6
93811;11;4
93812;12;10
93813;13;5
93814;14;8
93815;15;4
93816;16;9
93817;17;3
93818;18;7
93819;19;11
93820;20;3
93821;21;10
93822;22;6
93823;23;11
93824;24;11
93825;25;4
93826;26;10
93827;27;4
93828;28;3
93829;29;9
93830;30;9
93831;31;3
93832;32;4
93833;33;6
93834;34;3
93835;35;4
93836;36;7
93837;37;9
93838;38;10
93839;39;7
93840;40;12
93841;41;10
93842;42;12
93843;43;8
93844;44;10
93845;45;3
93846;46;9
93847;47;5
93848;48;5
93849;49;7
93850;50;7
93851;51;12
93852;52;10
93853;53;8
93854;54;12
93855;55;8
93856;56;4
93857;57;3
93858;58;6
93859;59;11
93860;60;9
93861;61;11
93862;62;7
93863;63;6
93864;64;8
93865;65;4
93866;66;3
93867;67;12
93868;68;7
93869;69;6
93870;70;7
93871;71;3
93872;72;4
93873;73;6
93874;74;8
93875;75;11
93876;76;5
93877;77;4
93878;78;4
93879;79;11
93880;80;6
93881;81;5
93882;82;12
93883;83;6
93884;84;6
93885;85;3
93886;86;8
93887;87;9
93888;88;8
93889;89;12
93890;90;12
93891;91;11
93892;92;12
93893;93;12
93894;94;6
93895;95;4
93896;96;5
93897;97;8
93898;98;5
93899;99;5
93900;100;7
93901;101;9
93902;102;4
93903;103;12
93904;104;4
93905;105;3
93906;106;3
93907;107;9
93908;108;12
93909;109;4
93910;110;3
93911;111;6
93912;112;12
93913;113;11
93914;114;11
93915;115;5
93916;116;10
93917;117;5
93918;118;3
93919;119;6
93920;120;12
93921;121;3
93922;122;9
93923;123;7
93924;124;4
93925;125;7
93926;126;3
93927;127;10
93928;128;8
93929;129;8
93930;130;5
93931;131;7
93932;132;9
93933;133;4
93934;134;12
93935;135;7
93936;136;10
93937;137;12
93938;138;6
93939;139;3
93940;140;6
93941;141;5
93942;142;10
93943;143;11
93944;144;11
93945;145;6
93946;146;7
93947;147;11
93948;148;10
93949;149;9
93950;150;11
93951;151;9
93952;152;9
93953;153;8
93954;154;4
93955;155;8
93956;156;10
93957;157;12
93958;158;10
93959;159;6
93960;160;6
93961;161;9
93962;162;7
93963;163;7
93964;164;3
93965;165;8
93966;166;4
93967;167;11
93968;168;5
93969;169;7
93970;170;8
93971;171;12
93972;172;3
93973;173;5
93974;174;4
93975;175;12
93976;176;10
93977;177;10
93978;178;12
93979;179;11
93980;180;4
93981;181;8
93982;182;9
93983;183;6
93984;184;7
93985;185;4
93986;186;12
93987;187;11
93988;188;9
93989;189;5
93990;190;3
93991;191;5
93992;192;5
93993;193;10
93994;194;6
93995;195;9
93996;196;10
